make,model,variant,fuelType
BMW,3 Series,320d,Diesel
Land Rover,Freelander 2,SE TD4,Diesel
Land Rover,Freelander 2,HSE SD4,Diesel
Mercedes-Benz,C-Class,220 CDI Sport,Diesel
Volkswagen,Vento,Highline Petrol AT,Petrol
Honda,Brio,S MT,Petrol
Volkswagen,Vento,Comfortline Diesel,Diesel
Mercedes-Benz,C-Class,220 CDI Sport,Diesel
Honda,Brio,EX MT,Petrol
Volkswagen,Polo,Trendline 1.2L (P),Petrol
Porsche,Cayman,S Tiptronic,Petrol
Land Rover,Range Rover Sport,3.0 TDV6,Diesel
Mercedes-Benz,E-Class,220 CDI MT,Diesel
Toyota,Innova,2.5 G 8 STR BS-IV,Diesel
Land Rover,Freelander 2,HSE SD4,Diesel
Mercedes-Benz,E-Class,240 V6 AT,Petrol
Honda,Brio,S MT,Petrol
Volkswagen,Vento,Trendline Petrol,Petrol
Hyundai,Santro Xing,XE,Petrol
Mercedes-Benz,S-Class,320 CDI,Diesel
Volkswagen,Polo,Comfortline 1.2L (D),Diesel
Toyota,Innova,2.5 G 8 STR BS-IV,Diesel
Mercedes-Benz,E-Class,250 D (W124),Diesel
BMW,3 Series,320d Highline Sedan,Diesel
Honda,Brio,S MT,Petrol
Mercedes-Benz,E-Class,240 V6 AT,Petrol
Mercedes-Benz,C-Class,220 CDI Sport,Diesel
Volkswagen,Vento,Comfortline Petrol,Petrol
Mercedes-Benz,E-Class,200 K Elegance,Petrol
BMW,X5,SAV 3.0d,Diesel
Volkswagen,Polo,Comfortline 1.2L (P),Petrol
Volkswagen,Vento,Highline Petrol AT,Petrol
Toyota,Camry,V4 MT,Petrol
Audi,A8 L,4.2 TDI quattro,Diesel
Maruti,Zen,LX,Petrol
Porsche,Panamera,3.0 Diesel,Diesel
Toyota,Innova,2.5 G 7 STR BS-IV,Diesel
Mercedes-Benz,S-Class,350 CDI Long Blue-Efficiency,Diesel
Mercedes-Benz,E-Class,220 CDI AT,Diesel
BMW,7 Series,730d Sedan,Diesel
Volkswagen,Vento,Highline Petrol AT,Petrol
Volkswagen,Polo,Trendline 1.2L (D),Diesel
BMW,3 Series,320d,Diesel
Volvo,XC60,Kinetic D3,Diesel
Jaguar,XF,3.0 V6 Premium Luxury,Petrol
Volkswagen,Vento,Highline Petrol,Petrol
Audi,A8 L,3.0 TDI quattro,Diesel
Land Rover,Freelander 2,SE TD4,Diesel
Volkswagen,Vento,Trendline Diesel,Diesel
